nohup: ignoring input
Loading original VRP: data/instances/I/Lazio.vrp
Loading clusters CSV: mst_clusters_output.csv
Setting up cluster dispatching jobs...
Created 670 sub-problems. Running HGS with parallel workers...
[1/670] Solved cluster_0 | Cost: 639997.0
[43/670] Solved cluster_42 | Cost: 3666600.0
[44/670] Solved cluster_43 | Cost: 3287520.0
[45/670] Solved cluster_44 | Cost: 3199210.0
[46/670] Solved cluster_45 | Cost: 2934260.0
[47/670] Solved cluster_46 | Cost: 2494380.0
[48/670] Solved cluster_47 | Cost: 2427990.0
[49/670] Solved cluster_48 | Cost: 1882330.0
[50/670] Solved cluster_49 | Cost: 2095690.0
[51/670] Solved cluster_50 | Cost: 2244580.0
[52/670] Solved cluster_51 | Cost: 2010840.0
[53/670] Solved cluster_52 | Cost: 1988400.0
[54/670] Solved cluster_53 | Cost: 1650470.0
[55/670] Solved cluster_54 | Cost: 917370.0
[56/670] Solved cluster_55 | Cost: 710671.0
[57/670] Solved cluster_56 | Cost: 582130.0
[58/670] Solved cluster_57 | Cost: 774794.0
[59/670] Solved cluster_58 | Cost: 795430.0
[60/670] Solved cluster_59 | Cost: 1040290.0
[61/670] Solved cluster_60 | Cost: 1207440.0
[62/670] Solved cluster_61 | Cost: 1350220.0
[63/670] Solved cluster_62 | Cost: 1524220.0
[64/670] Solved cluster_63 | Cost: 1554630.0
[65/670] Solved cluster_64 | Cost: 1527310.0
[66/670] Solved cluster_65 | Cost: None
[67/670] Solved cluster_66 | Cost: 1559900.0
[68/670] Solved cluster_67 | Cost: 1588740.0
[69/670] Solved cluster_68 | Cost: 1572110.0
[70/670] Solved cluster_69 | Cost: 1532630.0
[71/670] Solved cluster_70 | Cost: 979339.0
[72/670] Solved cluster_71 | Cost: 3900390.0
[73/670] Solved cluster_72 | Cost: 4485980.0
[74/670] Solved cluster_73 | Cost: 4058720.0
[75/670] Solved cluster_74 | Cost: 3293970.0
[76/670] Solved cluster_75 | Cost: 2552190.0
[77/670] Solved cluster_76 | Cost: 1944050.0
[78/670] Solved cluster_77 | Cost: 1246360.0
[79/670] Solved cluster_78 | Cost: 1423160.0
[80/670] Solved cluster_79 | Cost: 1102610.0
[81/670] Solved cluster_80 | Cost: 890562.0
[82/670] Solved cluster_81 | Cost: 790261.0
[83/670] Solved cluster_82 | Cost: 943846.0
[84/670] Solved cluster_83 | Cost: 952141.0
[85/670] Solved cluster_84 | Cost: 732966.0
[86/670] Solved cluster_85 | Cost: 664585.0
[87/670] Solved cluster_86 | Cost: 533529.0
[88/670] Solved cluster_87 | Cost: 464755.0
[89/670] Solved cluster_88 | Cost: 394625.0
[90/670] Solved cluster_89 | Cost: 268427.0
[91/670] Solved cluster_90 | Cost: 134876.0
[92/670] Solved cluster_91 | Cost: 206709.0
[93/670] Solved cluster_92 | Cost: 294939.0
[94/670] Solved cluster_93 | Cost: 466753.0
[95/670] Solved cluster_94 | Cost: 559337.0
[96/670] Solved cluster_95 | Cost: 673094.0
[97/670] Solved cluster_96 | Cost: 808939.0
[98/670] Solved cluster_97 | Cost: 903547.0
[99/670] Solved cluster_98 | Cost: 1348470.0
[100/670] Solved cluster_99 | Cost: 1084990.0
[101/670] Solved cluster_100 | Cost: 967589.0
[102/670] Solved cluster_101 | Cost: 852159.0
[103/670] Solved cluster_102 | Cost: 1204920.0
[104/670] Solved cluster_103 | Cost: 2757040.0
[105/670] Solved cluster_104 | Cost: 3054840.0
[106/670] Solved cluster_105 | Cost: 3117780.0
[107/670] Solved cluster_106 | Cost: 3740910.0
[108/670] Solved cluster_107 | Cost: 4729920.0
[109/670] Solved cluster_108 | Cost: 7312550.0
[110/670] Solved cluster_109 | Cost: 7068940.0
[111/670] Solved cluster_110 | Cost: 3294340.0
[112/670] Solved cluster_111 | Cost: 2576510.0
[113/670] Solved cluster_112 | Cost: 2598660.0
[114/670] Solved cluster_113 | Cost: 2493290.0
[115/670] Solved cluster_114 | Cost: 2103100.0
[116/670] Solved cluster_115 | Cost: 2956310.0
[117/670] Solved cluster_116 | Cost: 413776.0
[118/670] Solved cluster_117 | Cost: 4185900.0
[119/670] Solved cluster_118 | Cost: 5646100.0
[120/670] Solved cluster_119 | Cost: 6862670.0
[121/670] Solved cluster_120 | Cost: 6668390.0
[122/670] Solved cluster_121 | Cost: 7074380.0
[123/670] Solved cluster_122 | Cost: 7172320.0
[124/670] Solved cluster_123 | Cost: 7512200.0
[125/670] Solved cluster_124 | Cost: 8050260.0
[126/670] Solved cluster_125 | Cost: 8002640.0
[127/670] Solved cluster_126 | Cost: 9291580.0
[128/670] Solved cluster_127 | Cost: 9371820.0
[129/670] Solved cluster_128 | Cost: 9567210.0
[130/670] Solved cluster_129 | Cost: 10082000.0
[131/670] Solved cluster_130 | Cost: 10483500.0
[132/670] Solved cluster_131 | Cost: 10970700.0
[133/670] Solved cluster_132 | Cost: 11656900.0
[134/670] Solved cluster_133 | Cost: 11046600.0
[135/670] Solved cluster_134 | Cost: 10588200.0
[136/670] Solved cluster_135 | Cost: 10056100.0
[137/670] Solved cluster_136 | Cost: 9965450.0
[138/670] Solved cluster_137 | Cost: 10318100.0
[139/670] Solved cluster_138 | Cost: 11889200.0
[140/670] Solved cluster_139 | Cost: 11968200.0
[141/670] Solved cluster_140 | Cost: 12436300.0
[142/670] Solved cluster_141 | Cost: 13194900.0
[143/670] Solved cluster_142 | Cost: 12800400.0
[144/670] Solved cluster_143 | Cost: 12343000.0
[145/670] Solved cluster_144 | Cost: 10649700.0
[146/670] Solved cluster_145 | Cost: 10194900.0
[147/670] Solved cluster_146 | Cost: 10375800.0
[148/670] Solved cluster_147 | Cost: 9430940.0
[149/670] Solved cluster_148 | Cost: 7866270.0
[150/670] Solved cluster_149 | Cost: 8281700.0
[151/670] Solved cluster_150 | Cost: 9265850.0
[152/670] Solved cluster_151 | Cost: 7754960.0
[153/670] Solved cluster_152 | Cost: 7650750.0
[154/670] Solved cluster_153 | Cost: 7992520.0
[155/670] Solved cluster_154 | Cost: 7624590.0
[156/670] Solved cluster_155 | Cost: 7574830.0
[157/670] Solved cluster_156 | Cost: 7054830.0
[158/670] Solved cluster_157 | Cost: 6880190.0
[159/670] Solved cluster_158 | Cost: 7120710.0
[160/670] Solved cluster_159 | Cost: 7958960.0
[161/670] Solved cluster_160 | Cost: 7988320.0
[162/670] Solved cluster_161 | Cost: 8034790.0
[163/670] Solved cluster_162 | Cost: 7987480.0
[164/670] Solved cluster_163 | Cost: 6410910.0
[165/670] Solved cluster_164 | Cost: 5924620.0
[166/670] Solved cluster_165 | Cost: 6130130.0
[167/670] Solved cluster_166 | Cost: 6398130.0
[168/670] Solved cluster_167 | Cost: 6427730.0
[169/670] Solved cluster_168 | Cost: 5951770.0
[170/670] Solved cluster_169 | Cost: 5338810.0
[171/670] Solved cluster_170 | Cost: 5709560.0
[172/670] Solved cluster_171 | Cost: 6375930.0
[173/670] Solved cluster_172 | Cost: 6329110.0
[174/670] Solved cluster_173 | Cost: 5454150.0
[175/670] Solved cluster_174 | Cost: 5276720.0
[176/670] Solved cluster_175 | Cost: 5023700.0
[177/670] Solved cluster_176 | Cost: 4946980.0
[178/670] Solved cluster_177 | Cost: 3346390.0
[179/670] Solved cluster_178 | Cost: 2207400.0
[180/670] Solved cluster_179 | Cost: 2875270.0
[181/670] Solved cluster_180 | Cost: 3275480.0
[182/670] Solved cluster_181 | Cost: 1770660.0
[183/670] Solved cluster_182 | Cost: 1339360.0
[184/670] Solved cluster_183 | Cost: 1157670.0
[185/670] Solved cluster_184 | Cost: 1286480.0
[186/670] Solved cluster_185 | Cost: 1403780.0
[187/670] Solved cluster_186 | Cost: 1890240.0
[188/670] Solved cluster_187 | Cost: 2267740.0
[189/670] Solved cluster_188 | Cost: 1794500.0
[190/670] Solved cluster_189 | Cost: 1333090.0
[191/670] Solved cluster_190 | Cost: 1535740.0
[192/670] Solved cluster_191 | Cost: 1042790.0
[193/670] Solved cluster_192 | Cost: 902103.0
[194/670] Solved cluster_193 | Cost: 843770.0
[195/670] Solved cluster_194 | Cost: 657160.0
[196/670] Solved cluster_195 | Cost: 803975.0
[197/670] Solved cluster_196 | Cost: 752870.0
[198/670] Solved cluster_197 | Cost: 759200.0
[199/670] Solved cluster_198 | Cost: 401058.0
[200/670] Solved cluster_199 | Cost: 189164.0
[201/670] Solved cluster_200 | Cost: 299381.0
[202/670] Solved cluster_201 | Cost: 450421.0
[203/670] Solved cluster_202 | Cost: 218464.0
[204/670] Solved cluster_203 | Cost: 133978.0
[205/670] Solved cluster_204 | Cost: 129195.0
[206/670] Solved cluster_205 | Cost: 410951.0
[207/670] Solved cluster_206 | Cost: 520180.0
[208/670] Solved cluster_207 | Cost: 868054.0
[209/670] Solved cluster_208 | Cost: 1486880.0
[210/670] Solved cluster_210 | Cost: 3625120.0
[211/670] Solved cluster_209 | Cost: 2180220.0
[212/670] Solved cluster_211 | Cost: 4577180.0
[213/670] Solved cluster_212 | Cost: 4126430.0
[214/670] Solved cluster_213 | Cost: 2054730.0
[215/670] Solved cluster_214 | Cost: 5117030.0
[216/670] Solved cluster_215 | Cost: 3039030.0
[217/670] Solved cluster_216 | Cost: 2342850.0
[218/670] Solved cluster_217 | Cost: 2791070.0
[219/670] Solved cluster_218 | Cost: 4040610.0
[220/670] Solved cluster_219 | Cost: 5172070.0
[221/670] Solved cluster_220 | Cost: 6834640.0
[222/670] Solved cluster_221 | Cost: 7491430.0
[223/670] Solved cluster_222 | Cost: 8449630.0
[224/670] Solved cluster_223 | Cost: 8489960.0
[225/670] Solved cluster_224 | Cost: 8558300.0
[226/670] Solved cluster_225 | Cost: 9450660.0
[227/670] Solved cluster_226 | Cost: 10696000.0
[228/670] Solved cluster_227 | Cost: 11127500.0
[229/670] Solved cluster_228 | Cost: 8728030.0
[230/670] Solved cluster_229 | Cost: 6639070.0
[231/670] Solved cluster_230 | Cost: 7387600.0
[232/670] Solved cluster_231 | Cost: 7009590.0
[233/670] Solved cluster_232 | Cost: 5066110.0
[234/670] Solved cluster_233 | Cost: 4211110.0
[235/670] Solved cluster_234 | Cost: 3844090.0
[236/670] Solved cluster_235 | Cost: 2317350.0
[237/670] Solved cluster_236 | Cost: 1261780.0
[238/670] Solved cluster_237 | Cost: 1331090.0
[239/670] Solved cluster_238 | Cost: 1086720.0
[240/670] Solved cluster_239 | Cost: 941383.0
[241/670] Solved cluster_240 | Cost: 852860.0
[242/670] Solved cluster_241 | Cost: 582084.0
[243/670] Solved cluster_242 | Cost: 353139.0
[244/670] Solved cluster_243 | Cost: 419352.0
[245/670] Solved cluster_244 | Cost: 518532.0
[246/670] Solved cluster_245 | Cost: 600463.0
[247/670] Solved cluster_246 | Cost: 509319.0
[248/670] Solved cluster_247 | Cost: 366756.0
[249/670] Solved cluster_248 | Cost: 215737.0
[250/670] Solved cluster_249 | Cost: 118711.0
[251/670] Solved cluster_250 | Cost: 110746.0
[252/670] Solved cluster_251 | Cost: 173142.0
[253/670] Solved cluster_252 | Cost: 309268.0
[254/670] Solved cluster_253 | Cost: 430624.0
[255/670] Solved cluster_254 | Cost: 581882.0
[256/670] Solved cluster_255 | Cost: 647775.0
[257/670] Solved cluster_256 | Cost: 813382.0
[258/670] Solved cluster_257 | Cost: 843716.0
[259/670] Solved cluster_258 | Cost: 881326.0
[260/670] Solved cluster_259 | Cost: 801203.0
[261/670] Solved cluster_260 | Cost: 738177.0
[262/670] Solved cluster_261 | Cost: 759750.0
[263/670] Solved cluster_262 | Cost: 961491.0
[264/670] Solved cluster_263 | Cost: 1077890.0
[265/670] Solved cluster_264 | Cost: 1266480.0
[266/670] Solved cluster_265 | Cost: 1265580.0
[267/670] Solved cluster_266 | Cost: 1273310.0
[268/670] Solved cluster_267 | Cost: 1251380.0
[269/670] Solved cluster_268 | Cost: 1559200.0
[270/670] Solved cluster_269 | Cost: 2124960.0
[271/670] Solved cluster_270 | Cost: 3007910.0
[272/670] Solved cluster_271 | Cost: 4171150.0
[273/670] Solved cluster_272 | Cost: 2526970.0
[274/670] Solved cluster_273 | Cost: 3027500.0
[275/670] Solved cluster_274 | Cost: 2865020.0
[276/670] Solved cluster_275 | Cost: 2899450.0
[277/670] Solved cluster_276 | Cost: 3003340.0
[278/670] Solved cluster_277 | Cost: 3130790.0
[279/670] Solved cluster_278 | Cost: 3199490.0
[280/670] Solved cluster_279 | Cost: 2894840.0
[281/670] Solved cluster_280 | Cost: 2566020.0
[282/670] Solved cluster_281 | Cost: 2195800.0
[283/670] Solved cluster_282 | Cost: 1407120.0
[284/670] Solved cluster_283 | Cost: 812424.0
[285/670] Solved cluster_284 | Cost: 618715.0
[286/670] Solved cluster_285 | Cost: 359460.0
[287/670] Solved cluster_286 | Cost: 190344.0
[288/670] Solved cluster_287 | Cost: 129757.0
[289/670] Solved cluster_288 | Cost: 323619.0
[290/670] Solved cluster_289 | Cost: 531898.0
[291/670] Solved cluster_290 | Cost: 515977.0
[292/670] Solved cluster_291 | Cost: 771814.0
[293/670] Solved cluster_292 | Cost: 1365490.0
[294/670] Solved cluster_293 | Cost: 1311480.0
[295/670] Solved cluster_294 | Cost: 634480.0
[296/670] Solved cluster_295 | Cost: 1010300.0
[297/670] Solved cluster_296 | Cost: 2102210.0
[298/670] Solved cluster_297 | Cost: 2886210.0
[299/670] Solved cluster_298 | Cost: 3056330.0
[300/670] Solved cluster_299 | Cost: 2852450.0
[301/670] Solved cluster_300 | Cost: 1300320.0
[302/670] Solved cluster_301 | Cost: 3097250.0
[303/670] Solved cluster_302 | Cost: 3111010.0
[304/670] Solved cluster_303 | Cost: 3123190.0
[305/670] Solved cluster_304 | Cost: 3679930.0
[306/670] Solved cluster_305 | Cost: 3049040.0
[307/670] Solved cluster_306 | Cost: 2725860.0
[308/670] Solved cluster_307 | Cost: 2326040.0
[309/670] Solved cluster_308 | Cost: 2203390.0
[310/670] Solved cluster_309 | Cost: 2336810.0
[311/670] Solved cluster_310 | Cost: 2414820.0
[312/670] Solved cluster_311 | Cost: 2320790.0
[313/670] Solved cluster_312 | Cost: 2566440.0
[314/670] Solved cluster_313 | Cost: 2497240.0
[315/670] Solved cluster_314 | Cost: 2445200.0
[316/670] Solved cluster_315 | Cost: 2553630.0
[317/670] Solved cluster_316 | Cost: 2144660.0
[318/670] Solved cluster_317 | Cost: 2086830.0
[319/670] Solved cluster_318 | Cost: 1997740.0
[320/670] Solved cluster_319 | Cost: 1893240.0
[321/670] Solved cluster_320 | Cost: 1746850.0
[322/670] Solved cluster_321 | Cost: 1555380.0
[323/670] Solved cluster_322 | Cost: 1460420.0
[324/670] Solved cluster_323 | Cost: 1275970.0
[325/670] Solved cluster_324 | Cost: 1081710.0
[326/670] Solved cluster_325 | Cost: 909458.0
[327/670] Solved cluster_326 | Cost: 967361.0
[328/670] Solved cluster_327 | Cost: 1092400.0
[329/670] Solved cluster_328 | Cost: 744108.0
[330/670] Solved cluster_329 | Cost: 713383.0
[331/670] Solved cluster_330 | Cost: 591101.0
[332/670] Solved cluster_331 | Cost: 599144.0
[333/670] Solved cluster_332 | Cost: 618117.0
[334/670] Solved cluster_333 | Cost: 549463.0
[335/670] Solved cluster_334 | Cost: 438426.0
[336/670] Solved cluster_335 | Cost: 419888.0
[337/670] Solved cluster_336 | Cost: 426170.0
[338/670] Solved cluster_337 | Cost: 267024.0
[339/670] Solved cluster_338 | Cost: 207703.0
[340/670] Solved cluster_339 | Cost: 351061.0
[341/670] Solved cluster_340 | Cost: 727784.0
[342/670] Solved cluster_341 | Cost: 883102.0
[343/670] Solved cluster_342 | Cost: 1239800.0
[344/670] Solved cluster_343 | Cost: 1494310.0
[345/670] Solved cluster_344 | Cost: 2096380.0
[346/670] Solved cluster_345 | Cost: 1639200.0
[347/670] Solved cluster_346 | Cost: 1708280.0
[348/670] Solved cluster_347 | Cost: 1790380.0
[349/670] Solved cluster_348 | Cost: 1934500.0
[350/670] Solved cluster_349 | Cost: 2130620.0
[351/670] Solved cluster_350 | Cost: 2136820.0
[352/670] Solved cluster_351 | Cost: 2137790.0
[353/670] Solved cluster_352 | Cost: 1935450.0
[354/670] Solved cluster_353 | Cost: 2136090.0
[355/670] Solved cluster_354 | Cost: 2454500.0
[356/670] Solved cluster_355 | Cost: 2654440.0
[357/670] Solved cluster_356 | Cost: 2906720.0
[358/670] Solved cluster_357 | Cost: 2275540.0
[359/670] Solved cluster_358 | Cost: 1121740.0
[360/670] Solved cluster_359 | Cost: 754828.0
[361/670] Solved cluster_360 | Cost: 672266.0
[362/670] Solved cluster_361 | Cost: 482528.0
[363/670] Solved cluster_362 | Cost: 440713.0
[364/670] Solved cluster_363 | Cost: 406671.0
[365/670] Solved cluster_364 | Cost: 375034.0
[366/670] Solved cluster_365 | Cost: 1090750.0
[367/670] Solved cluster_366 | Cost: 1354280.0
[368/670] Solved cluster_367 | Cost: 1737050.0
[369/670] Solved cluster_368 | Cost: 2122190.0
[370/670] Solved cluster_369 | Cost: 3623090.0
[371/670] Solved cluster_370 | Cost: 3430930.0
[372/670] Solved cluster_371 | Cost: 3113760.0
[373/670] Solved cluster_372 | Cost: 3264170.0
[374/670] Solved cluster_373 | Cost: 3600940.0
[375/670] Solved cluster_374 | Cost: 4081700.0
[376/670] Solved cluster_375 | Cost: 3383710.0
[377/670] Solved cluster_376 | Cost: 2854290.0
[378/670] Solved cluster_377 | Cost: 2048930.0
[379/670] Solved cluster_378 | Cost: 2306880.0
[380/670] Solved cluster_379 | Cost: 2600950.0
[381/670] Solved cluster_380 | Cost: 2723480.0
[382/670] Solved cluster_381 | Cost: 2871920.0
[383/670] Solved cluster_383 | Cost: 3985040.0
[384/670] Solved cluster_382 | Cost: 3175980.0
[385/670] Solved cluster_384 | Cost: 4771900.0
[386/670] Solved cluster_385 | Cost: 4927680.0
[387/670] Solved cluster_386 | Cost: 4530170.0
[388/670] Solved cluster_387 | Cost: 4445400.0
[389/670] Solved cluster_388 | Cost: 4123240.0
[390/670] Solved cluster_389 | Cost: 4489410.0
[391/670] Solved cluster_390 | Cost: 4822330.0
[392/670] Solved cluster_391 | Cost: 5419240.0
[393/670] Solved cluster_393 | Cost: 5911700.0
[394/670] Solved cluster_392 | Cost: 5418810.0
[395/670] Solved cluster_394 | Cost: 5403000.0
[396/670] Solved cluster_395 | Cost: 6974780.0
[397/670] Solved cluster_396 | Cost: 7389060.0
[398/670] Solved cluster_397 | Cost: 7148720.0
[399/670] Solved cluster_398 | Cost: 7656730.0
[400/670] Solved cluster_399 | Cost: 9573720.0
[401/670] Solved cluster_400 | Cost: 10751900.0
[402/670] Solved cluster_401 | Cost: 10057800.0
[403/670] Solved cluster_402 | Cost: 9942310.0
[404/670] Solved cluster_403 | Cost: 12993000.0
[405/670] Solved cluster_404 | Cost: 10777500.0
[406/670] Solved cluster_405 | Cost: 9693650.0
[407/670] Solved cluster_406 | Cost: 7926680.0
[408/670] Solved cluster_407 | Cost: 8162430.0
[409/670] Solved cluster_408 | Cost: 7129960.0
[410/670] Solved cluster_409 | Cost: 6567300.0
[411/670] Solved cluster_410 | Cost: 6893720.0
[412/670] Solved cluster_411 | Cost: 7183620.0
[413/670] Solved cluster_412 | Cost: 6950850.0
[414/670] Solved cluster_413 | Cost: 7349510.0
[415/670] Solved cluster_414 | Cost: 7314970.0
[416/670] Solved cluster_415 | Cost: 5718400.0
[417/670] Solved cluster_416 | Cost: 4810940.0
[418/670] Solved cluster_417 | Cost: 5565600.0
[419/670] Solved cluster_418 | Cost: 5864340.0
[420/670] Solved cluster_419 | Cost: 6254500.0
[421/670] Solved cluster_420 | Cost: 5956560.0
[422/670] Solved cluster_421 | Cost: 6077730.0
[423/670] Solved cluster_422 | Cost: 5769630.0
[424/670] Solved cluster_423 | Cost: 6150850.0
[425/670] Solved cluster_424 | Cost: 5785990.0
[426/670] Solved cluster_425 | Cost: 5246580.0
[427/670] Solved cluster_426 | Cost: 5518760.0
[428/670] Solved cluster_427 | Cost: 4902340.0
[429/670] Solved cluster_428 | Cost: 4433120.0
[430/670] Solved cluster_429 | Cost: 4355540.0
[431/670] Solved cluster_430 | Cost: 4394220.0
[432/670] Solved cluster_431 | Cost: 4225430.0
[433/670] Solved cluster_432 | Cost: 3802310.0
[434/670] Solved cluster_433 | Cost: 3308260.0
[435/670] Solved cluster_434 | Cost: 2850200.0
[436/670] Solved cluster_435 | Cost: 1999670.0
[437/670] Solved cluster_436 | Cost: 1400710.0
[438/670] Solved cluster_437 | Cost: 960771.0
[439/670] Solved cluster_438 | Cost: 856907.0
[440/670] Solved cluster_439 | Cost: 674414.0
[441/670] Solved cluster_440 | Cost: 4358350.0
[442/670] Solved cluster_441 | Cost: 4136300.0
[443/670] Solved cluster_442 | Cost: 4724110.0
[444/670] Solved cluster_443 | Cost: 5676520.0
[445/670] Solved cluster_444 | Cost: 6272460.0
[446/670] Solved cluster_445 | Cost: 8074630.0
[447/670] Solved cluster_446 | Cost: 9281270.0
[448/670] Solved cluster_447 | Cost: 9559530.0
[449/670] Solved cluster_448 | Cost: 10693400.0
[450/670] Solved cluster_449 | Cost: 10600200.0
[451/670] Solved cluster_450 | Cost: 11460300.0
[452/670] Solved cluster_451 | Cost: 11923000.0
[453/670] Solved cluster_452 | Cost: 11276300.0
[454/670] Solved cluster_453 | Cost: 11330800.0
[455/670] Solved cluster_454 | Cost: 12204900.0
[456/670] Solved cluster_455 | Cost: 11980800.0
[457/670] Solved cluster_456 | Cost: 11669000.0
[458/670] Solved cluster_457 | Cost: 11807500.0
[459/670] Solved cluster_458 | Cost: 11664600.0
[460/670] Solved cluster_459 | Cost: 11996800.0
[461/670] Solved cluster_460 | Cost: 11338800.0
[462/670] Solved cluster_461 | Cost: 11957200.0
[463/670] Solved cluster_462 | Cost: 13037100.0
[464/670] Solved cluster_463 | Cost: 14225900.0
[465/670] Solved cluster_464 | Cost: 14674700.0
[466/670] Solved cluster_465 | Cost: 13689000.0
[467/670] Solved cluster_466 | Cost: 13609100.0
[468/670] Solved cluster_467 | Cost: 13665600.0
[469/670] Solved cluster_468 | Cost: 13494000.0
[470/670] Solved cluster_469 | Cost: 13436800.0
[471/670] Solved cluster_470 | Cost: 13307500.0
[472/670] Solved cluster_471 | Cost: 13584600.0
[473/670] Solved cluster_472 | Cost: 13582800.0
[474/670] Solved cluster_473 | Cost: 13846900.0
[475/670] Solved cluster_474 | Cost: 14087000.0
[476/670] Solved cluster_475 | Cost: 13776100.0
[477/670] Solved cluster_476 | Cost: 13395300.0
[478/670] Solved cluster_477 | Cost: 12916700.0
[479/670] Solved cluster_478 | Cost: 13780400.0
[480/670] Solved cluster_479 | Cost: 13615400.0
[481/670] Solved cluster_480 | Cost: 14338100.0
[482/670] Solved cluster_481 | Cost: 13679600.0
[483/670] Solved cluster_482 | Cost: 13817000.0
[484/670] Solved cluster_483 | Cost: 15357700.0
[485/670] Solved cluster_484 | Cost: 15277200.0
[486/670] Solved cluster_485 | Cost: 14709900.0
[487/670] Solved cluster_486 | Cost: 15275600.0
[488/670] Solved cluster_487 | Cost: 15242700.0
[489/670] Solved cluster_488 | Cost: 14463000.0
[490/670] Solved cluster_489 | Cost: 15049800.0
[491/670] Solved cluster_490 | Cost: 14949500.0
[492/670] Solved cluster_491 | Cost: 15411700.0
[493/670] Solved cluster_492 | Cost: 15672500.0
[494/670] Solved cluster_493 | Cost: 15345900.0
[495/670] Solved cluster_494 | Cost: 15411100.0
[496/670] Solved cluster_495 | Cost: 14454200.0
[497/670] Solved cluster_496 | Cost: 14355400.0
[498/670] Solved cluster_497 | Cost: 13305300.0
[499/670] Solved cluster_498 | Cost: 13214700.0
[500/670] Solved cluster_499 | Cost: 14547700.0
[501/670] Solved cluster_500 | Cost: 14157800.0
[502/670] Solved cluster_501 | Cost: 14190300.0
[503/670] Solved cluster_502 | Cost: 14588100.0
[504/670] Solved cluster_503 | Cost: 14109200.0
[505/670] Solved cluster_504 | Cost: 15595000.0
[506/670] Solved cluster_505 | Cost: 14830700.0
[507/670] Solved cluster_506 | Cost: 14411500.0
[508/670] Solved cluster_507 | Cost: 13322600.0
[509/670] Solved cluster_508 | Cost: 12906400.0
[510/670] Solved cluster_509 | Cost: 11831600.0
[511/670] Solved cluster_510 | Cost: 11762100.0
[512/670] Solved cluster_511 | Cost: 11224300.0
[513/670] Solved cluster_512 | Cost: 10007200.0
[514/670] Solved cluster_513 | Cost: 9382680.0
[515/670] Solved cluster_514 | Cost: 9532200.0
[516/670] Solved cluster_515 | Cost: 9217340.0
[517/670] Solved cluster_516 | Cost: 9552660.0
[518/670] Solved cluster_517 | Cost: 10213000.0
[519/670] Solved cluster_518 | Cost: 9715880.0
[520/670] Solved cluster_519 | Cost: 9358860.0
[521/670] Solved cluster_520 | Cost: 7987470.0
[522/670] Solved cluster_521 | Cost: 9345000.0
[523/670] Solved cluster_522 | Cost: 9669950.0
[524/670] Solved cluster_523 | Cost: 9424010.0
[525/670] Solved cluster_524 | Cost: 10695400.0
[526/670] Solved cluster_525 | Cost: 10311600.0
[527/670] Solved cluster_526 | Cost: 9891930.0
[528/670] Solved cluster_527 | Cost: 9403810.0
[529/670] Solved cluster_528 | Cost: 9391420.0
[530/670] Solved cluster_529 | Cost: 9089220.0
[531/670] Solved cluster_530 | Cost: 8941940.0
[532/670] Solved cluster_531 | Cost: 8768000.0
[533/670] Solved cluster_532 | Cost: 9642550.0
[534/670] Solved cluster_533 | Cost: 9018780.0
