nohup: ignoring input
Loading original VRP: data/instances/I/Lazio.vrp
Loading clusters CSV: sfc_clusters_output.csv
Setting up cluster dispatching jobs...
Created 670 sub-problems. Running HGS with parallel workers...
[1/670] Solved cluster_0 | Cost: 122215.0
[71/670] Solved cluster_70 | Cost: 6413310.0
[72/670] Solved cluster_71 | Cost: 125213.0
[73/670] Solved cluster_72 | Cost: 188586.0
[74/670] Solved cluster_73 | Cost: 371356.0
[75/670] Solved cluster_74 | Cost: 400088.0
[76/670] Solved cluster_75 | Cost: 317811.0
[77/670] Solved cluster_76 | Cost: 319587.0
[78/670] Solved cluster_77 | Cost: 490012.0
[79/670] Solved cluster_78 | Cost: 756641.0
[80/670] Solved cluster_79 | Cost: 702553.0
[81/670] Solved cluster_80 | Cost: 612746.0
[82/670] Solved cluster_81 | Cost: 515352.0
[83/670] Solved cluster_82 | Cost: 648275.0
[84/670] Solved cluster_83 | Cost: 698625.0
[85/670] Solved cluster_84 | Cost: 819421.0
[86/670] Solved cluster_85 | Cost: 866666.0
[87/670] Solved cluster_86 | Cost: 816492.0
[88/670] Solved cluster_87 | Cost: 938961.0
[89/670] Solved cluster_88 | Cost: 1599320.0
[90/670] Solved cluster_89 | Cost: 1343360.0
[91/670] Solved cluster_90 | Cost: 1004840.0
[92/670] Solved cluster_91 | Cost: 954323.0
[93/670] Solved cluster_92 | Cost: 1097660.0
[94/670] Solved cluster_93 | Cost: 1045320.0
[95/670] Solved cluster_94 | Cost: 874956.0
[96/670] Solved cluster_95 | Cost: 1216990.0
[97/670] Solved cluster_96 | Cost: 1337220.0
[98/670] Solved cluster_97 | Cost: 1587200.0
[99/670] Solved cluster_98 | Cost: 2529510.0
[100/670] Solved cluster_99 | Cost: 2604740.0
[101/670] Solved cluster_100 | Cost: 2642510.0
[102/670] Solved cluster_101 | Cost: 2645500.0
[103/670] Solved cluster_102 | Cost: 2342490.0
[104/670] Solved cluster_103 | Cost: 2422980.0
[105/670] Solved cluster_104 | Cost: 2499660.0
[106/670] Solved cluster_105 | Cost: 2871830.0
[107/670] Solved cluster_106 | Cost: 3396250.0
[108/670] Solved cluster_107 | Cost: 3531680.0
[109/670] Solved cluster_108 | Cost: 4362150.0
[110/670] Solved cluster_109 | Cost: 5105940.0
[111/670] Solved cluster_110 | Cost: 4190490.0
[112/670] Solved cluster_111 | Cost: 3766950.0
[113/670] Solved cluster_112 | Cost: 3207820.0
[114/670] Solved cluster_113 | Cost: 3759540.0
[115/670] Solved cluster_114 | Cost: 4888140.0
[116/670] Solved cluster_115 | Cost: 8239340.0
[117/670] Solved cluster_116 | Cost: 1529360.0
[118/670] Solved cluster_117 | Cost: 4142160.0
[119/670] Solved cluster_118 | Cost: 5174030.0
[120/670] Solved cluster_119 | Cost: 5265210.0
[121/670] Solved cluster_120 | Cost: 5324400.0
[122/670] Solved cluster_121 | Cost: 5933570.0
[123/670] Solved cluster_122 | Cost: 5809480.0
[124/670] Solved cluster_123 | Cost: 5825900.0
[125/670] Solved cluster_124 | Cost: 6171020.0
[126/670] Solved cluster_125 | Cost: 6365330.0
[127/670] Solved cluster_126 | Cost: 6861700.0
[128/670] Solved cluster_127 | Cost: 6926350.0
[129/670] Solved cluster_128 | Cost: 6800120.0
[130/670] Solved cluster_129 | Cost: 6913860.0
[131/670] Solved cluster_130 | Cost: 7318520.0
[132/670] Solved cluster_131 | Cost: 9926950.0
[133/670] Solved cluster_132 | Cost: 9434450.0
[134/670] Solved cluster_133 | Cost: 10210600.0
[135/670] Solved cluster_134 | Cost: 10446200.0
[136/670] Solved cluster_135 | Cost: 11021300.0
[137/670] Solved cluster_136 | Cost: 10769800.0
[138/670] Solved cluster_137 | Cost: 11092800.0
[139/670] Solved cluster_138 | Cost: 11548300.0
[140/670] Solved cluster_139 | Cost: 12676200.0
[141/670] Solved cluster_140 | Cost: 13097500.0
[142/670] Solved cluster_141 | Cost: 12722000.0
[143/670] Solved cluster_142 | Cost: 12454000.0
[144/670] Solved cluster_143 | Cost: 12040000.0
[145/670] Solved cluster_144 | Cost: 11704700.0
[146/670] Solved cluster_145 | Cost: 10773500.0
[147/670] Solved cluster_146 | Cost: 10538400.0
[148/670] Solved cluster_147 | Cost: 10163800.0
[149/670] Solved cluster_148 | Cost: 8658400.0
[150/670] Solved cluster_149 | Cost: 9297920.0
[151/670] Solved cluster_150 | Cost: 9742340.0
[152/670] Solved cluster_151 | Cost: 9801550.0
[153/670] Solved cluster_152 | Cost: 9863230.0
[154/670] Solved cluster_153 | Cost: 9667800.0
[155/670] Solved cluster_154 | Cost: 8193360.0
[156/670] Solved cluster_155 | Cost: 8265670.0
[157/670] Solved cluster_156 | Cost: 8074810.0
[158/670] Solved cluster_157 | Cost: 7881400.0
[159/670] Solved cluster_158 | Cost: 7926410.0
[160/670] Solved cluster_159 | Cost: 7974530.0
[161/670] Solved cluster_160 | Cost: 7839880.0
[162/670] Solved cluster_161 | Cost: 7757560.0
[163/670] Solved cluster_162 | Cost: 8156540.0
[164/670] Solved cluster_163 | Cost: 7595290.0
[165/670] Solved cluster_164 | Cost: 7560780.0
[166/670] Solved cluster_165 | Cost: 7282750.0
[167/670] Solved cluster_166 | Cost: 6936130.0
[168/670] Solved cluster_167 | Cost: 6865960.0
[169/670] Solved cluster_168 | Cost: 7376560.0
[170/670] Solved cluster_169 | Cost: 7624170.0
[171/670] Solved cluster_170 | Cost: 7686170.0
[172/670] Solved cluster_171 | Cost: 6341100.0
[173/670] Solved cluster_172 | Cost: 6322890.0
[174/670] Solved cluster_173 | Cost: 5735750.0
[175/670] Solved cluster_174 | Cost: 5455130.0
[176/670] Solved cluster_175 | Cost: 5282380.0
[177/670] Solved cluster_176 | Cost: 4631350.0
[178/670] Solved cluster_177 | Cost: 4568110.0
[179/670] Solved cluster_178 | Cost: 4783280.0
[180/670] Solved cluster_179 | Cost: 3631460.0
[181/670] Solved cluster_180 | Cost: 4121170.0
[182/670] Solved cluster_182 | Cost: 1868860.0
[183/670] Solved cluster_181 | Cost: 2018950.0
[184/670] Solved cluster_183 | Cost: 2885530.0
[185/670] Solved cluster_184 | Cost: 2892550.0
[186/670] Solved cluster_185 | Cost: 2855270.0
[187/670] Solved cluster_186 | Cost: 2263210.0
[188/670] Solved cluster_187 | Cost: 2050480.0
[189/670] Solved cluster_188 | Cost: 1597900.0
[190/670] Solved cluster_189 | Cost: 1316750.0
[191/670] Solved cluster_190 | Cost: 1211150.0
[192/670] Solved cluster_191 | Cost: 1283200.0
[193/670] Solved cluster_192 | Cost: 1720080.0
[194/670] Solved cluster_193 | Cost: 1413480.0
[195/670] Solved cluster_194 | Cost: 657692.0
[196/670] Solved cluster_195 | Cost: 381988.0
[197/670] Solved cluster_196 | Cost: 216559.0
[198/670] Solved cluster_197 | Cost: 166885.0
[199/670] Solved cluster_198 | Cost: 175486.0
[200/670] Solved cluster_199 | Cost: 128645.0
[201/670] Solved cluster_200 | Cost: 258214.0
[202/670] Solved cluster_201 | Cost: 413554.0
[203/670] Solved cluster_202 | Cost: 528500.0
[204/670] Solved cluster_203 | Cost: 712710.0
[205/670] Solved cluster_204 | Cost: 779872.0
[206/670] Solved cluster_205 | Cost: 685362.0
[207/670] Solved cluster_206 | Cost: 618778.0
[208/670] Solved cluster_207 | Cost: 722179.0
[209/670] Solved cluster_208 | Cost: 955956.0
[210/670] Solved cluster_209 | Cost: 1024110.0
[211/670] Solved cluster_210 | Cost: 1131420.0
[212/670] Solved cluster_211 | Cost: 1387420.0
[213/670] Solved cluster_212 | Cost: 1451570.0
[214/670] Solved cluster_213 | Cost: 743286.0
[215/670] Solved cluster_214 | Cost: 6464710.0
[216/670] Solved cluster_215 | Cost: 6365280.0
[217/670] Solved cluster_216 | Cost: 7417300.0
[218/670] Solved cluster_217 | Cost: 7383590.0
[219/670] Solved cluster_218 | Cost: 7295380.0
[220/670] Solved cluster_219 | Cost: 6632280.0
[221/670] Solved cluster_220 | Cost: 7195900.0
[222/670] Solved cluster_221 | Cost: 8705170.0
[223/670] Solved cluster_222 | Cost: 8682570.0
[224/670] Solved cluster_223 | Cost: 9193260.0
[225/670] Solved cluster_224 | Cost: 11071100.0
[226/670] Solved cluster_225 | Cost: 10802600.0
[227/670] Solved cluster_226 | Cost: 9256650.0
[228/670] Solved cluster_227 | Cost: 4986420.0
[229/670] Solved cluster_228 | Cost: 4211210.0
[230/670] Solved cluster_229 | Cost: 4398360.0
[231/670] Solved cluster_230 | Cost: 4244320.0
[232/670] Solved cluster_231 | Cost: 4466980.0
[233/670] Solved cluster_232 | Cost: 4020240.0
[234/670] Solved cluster_233 | Cost: 3734420.0
[235/670] Solved cluster_234 | Cost: 2662090.0
[236/670] Solved cluster_235 | Cost: 2560730.0
[237/670] Solved cluster_237 | Cost: 1803390.0
[238/670] Solved cluster_236 | Cost: 1807330.0
[239/670] Solved cluster_238 | Cost: 2614420.0
[240/670] Solved cluster_239 | Cost: 2844210.0
[241/670] Solved cluster_240 | Cost: 1740340.0
[242/670] Solved cluster_241 | Cost: 1241070.0
[243/670] Solved cluster_242 | Cost: 1187750.0
[244/670] Solved cluster_243 | Cost: 827568.0
[245/670] Solved cluster_244 | Cost: 933176.0
[246/670] Solved cluster_245 | Cost: 1146440.0
[247/670] Solved cluster_246 | Cost: 1290780.0
[248/670] Solved cluster_247 | Cost: 1318060.0
[249/670] Solved cluster_249 | Cost: 1246340.0
[250/670] Solved cluster_248 | Cost: 1172050.0
[251/670] Solved cluster_250 | Cost: 957660.0
[252/670] Solved cluster_251 | Cost: 988320.0
[253/670] Solved cluster_252 | Cost: 869367.0
[254/670] Solved cluster_254 | Cost: 733134.0
[255/670] Solved cluster_253 | Cost: 756084.0
[256/670] Solved cluster_255 | Cost: 621113.0
[257/670] Solved cluster_256 | Cost: 529628.0
[258/670] Solved cluster_257 | Cost: 424846.0
[259/670] Solved cluster_258 | Cost: 470436.0
[260/670] Solved cluster_259 | Cost: 469701.0
[261/670] Solved cluster_260 | Cost: 592070.0
[262/670] Solved cluster_261 | Cost: 726305.0
[263/670] Solved cluster_262 | Cost: 783254.0
[264/670] Solved cluster_263 | Cost: 867252.0
[265/670] Solved cluster_264 | Cost: 614331.0
[266/670] Solved cluster_265 | Cost: 432730.0
[267/670] Solved cluster_266 | Cost: 343490.0
[268/670] Solved cluster_267 | Cost: 279846.0
[269/670] Solved cluster_268 | Cost: 319188.0
[270/670] Solved cluster_269 | Cost: 146818.0
[271/670] Solved cluster_270 | Cost: 172072.0
[272/670] Solved cluster_271 | Cost: 134133.0
[273/670] Solved cluster_272 | Cost: 35552.0
[274/670] Solved cluster_273 | Cost: 3096350.0
[275/670] Solved cluster_274 | Cost: 3165590.0
[276/670] Solved cluster_275 | Cost: 3116520.0
[277/670] Solved cluster_276 | Cost: 2974260.0
[278/670] Solved cluster_277 | Cost: 2956820.0
[279/670] Solved cluster_278 | Cost: 2585240.0
[280/670] Solved cluster_279 | Cost: 2881790.0
[281/670] Solved cluster_280 | Cost: 2190940.0
[282/670] Solved cluster_281 | Cost: 2819130.0
[283/670] Solved cluster_282 | Cost: 2854350.0
[284/670] Solved cluster_283 | Cost: 2942230.0
[285/670] Solved cluster_284 | Cost: 2992810.0
[286/670] Solved cluster_285 | Cost: 2168100.0
[287/670] Solved cluster_286 | Cost: 1307650.0
[288/670] Solved cluster_287 | Cost: 1023520.0
[289/670] Solved cluster_288 | Cost: 123880.0
[290/670] Solved cluster_289 | Cost: 190472.0
[291/670] Solved cluster_290 | Cost: 531268.0
[292/670] Solved cluster_291 | Cost: 540438.0
[293/670] Solved cluster_292 | Cost: 645112.0
[294/670] Solved cluster_293 | Cost: 751619.0
[295/670] Solved cluster_294 | Cost: 814956.0
[296/670] Solved cluster_295 | Cost: 576218.0
[297/670] Solved cluster_296 | Cost: 463194.0
[298/670] Solved cluster_297 | Cost: 351616.0
[299/670] Solved cluster_298 | Cost: 1040990.0
[300/670] Solved cluster_299 | Cost: 1847020.0
[301/670] Solved cluster_300 | Cost: 939917.0
[302/670] Solved cluster_301 | Cost: 2945750.0
[303/670] Solved cluster_302 | Cost: 2324410.0
[304/670] Solved cluster_303 | Cost: 2453920.0
[305/670] Solved cluster_304 | Cost: 2523610.0
[306/670] Solved cluster_305 | Cost: 2428050.0
[307/670] Solved cluster_306 | Cost: 2254790.0
[308/670] Solved cluster_307 | Cost: 2291660.0
[309/670] Solved cluster_308 | Cost: 2513540.0
[310/670] Solved cluster_309 | Cost: 2555120.0
[311/670] Solved cluster_310 | Cost: 2732070.0
[312/670] Solved cluster_311 | Cost: 3133000.0
[313/670] Solved cluster_312 | Cost: 3006200.0
[314/670] Solved cluster_313 | Cost: 3042870.0
[315/670] Solved cluster_314 | Cost: 3011560.0
[316/670] Solved cluster_315 | Cost: 2858140.0
[317/670] Solved cluster_316 | Cost: 2832500.0
[318/670] Solved cluster_317 | Cost: 2438050.0
[319/670] Solved cluster_318 | Cost: 2240050.0
[320/670] Solved cluster_319 | Cost: 2191960.0
[321/670] Solved cluster_320 | Cost: 2079240.0
[322/670] Solved cluster_321 | Cost: 1817560.0
[323/670] Solved cluster_322 | Cost: 602042.0
[324/670] Solved cluster_323 | Cost: 772943.0
[325/670] Solved cluster_324 | Cost: 850620.0
[326/670] Solved cluster_325 | Cost: 999922.0
[327/670] Solved cluster_326 | Cost: 1215780.0
[328/670] Solved cluster_327 | Cost: 1496200.0
[329/670] Solved cluster_328 | Cost: 1699300.0
[330/670] Solved cluster_329 | Cost: 1814400.0
[331/670] Solved cluster_330 | Cost: 1829420.0
[332/670] Solved cluster_331 | Cost: 1874870.0
[333/670] Solved cluster_332 | Cost: 1975310.0
[334/670] Solved cluster_333 | Cost: 1999110.0
[335/670] Solved cluster_334 | Cost: 2026210.0
[336/670] Solved cluster_335 | Cost: 2116530.0
[337/670] Solved cluster_336 | Cost: 2170980.0
[338/670] Solved cluster_337 | Cost: 1903860.0
[339/670] Solved cluster_338 | Cost: 1594370.0
[340/670] Solved cluster_339 | Cost: 1620660.0
[341/670] Solved cluster_340 | Cost: 1632400.0
[342/670] Solved cluster_341 | Cost: 1229240.0
[343/670] Solved cluster_342 | Cost: 1392330.0
[344/670] Solved cluster_343 | Cost: 1110940.0
[345/670] Solved cluster_344 | Cost: 973587.0
[346/670] Solved cluster_345 | Cost: 896294.0
[347/670] Solved cluster_346 | Cost: 578209.0
[348/670] Solved cluster_347 | Cost: 666906.0
[349/670] Solved cluster_348 | Cost: 674404.0
[350/670] Solved cluster_349 | Cost: 563770.0
[351/670] Solved cluster_350 | Cost: 486380.0
[352/670] Solved cluster_351 | Cost: 419002.0
[353/670] Solved cluster_352 | Cost: 353187.0
[354/670] Solved cluster_353 | Cost: 364133.0
[355/670] Solved cluster_354 | Cost: 237213.0
[356/670] Solved cluster_355 | Cost: 254601.0
[357/670] Solved cluster_356 | Cost: 2106150.0
[358/670] Solved cluster_357 | Cost: 2822770.0
[359/670] Solved cluster_358 | Cost: 10515800.0
[360/670] Solved cluster_359 | Cost: 10709700.0
[361/670] Solved cluster_360 | Cost: 10686700.0
[362/670] Solved cluster_361 | Cost: 10226400.0
[363/670] Solved cluster_362 | Cost: 8600350.0
[364/670] Solved cluster_363 | Cost: 5684880.0
[365/670] Solved cluster_364 | Cost: 6104240.0
[366/670] Solved cluster_365 | Cost: 6467340.0
[367/670] Solved cluster_366 | Cost: 6321150.0
[368/670] Solved cluster_367 | Cost: 6090430.0
[369/670] Solved cluster_368 | Cost: 5897220.0
[370/670] Solved cluster_369 | Cost: 5280430.0
[371/670] Solved cluster_370 | Cost: 5948060.0
[372/670] Solved cluster_371 | Cost: 5567690.0
[373/670] Solved cluster_372 | Cost: 4969680.0
[374/670] Solved cluster_373 | Cost: 4658260.0
[375/670] Solved cluster_374 | Cost: 4409800.0
[376/670] Solved cluster_375 | Cost: 4467680.0
[377/670] Solved cluster_376 | Cost: 4389890.0
[378/670] Solved cluster_377 | Cost: 4341040.0
[379/670] Solved cluster_378 | Cost: 4689590.0
[380/670] Solved cluster_379 | Cost: 5220610.0
[381/670] Solved cluster_380 | Cost: 5706670.0
[382/670] Solved cluster_381 | Cost: 5436080.0
[383/670] Solved cluster_382 | Cost: 5314290.0
[384/670] Solved cluster_383 | Cost: 5355250.0
[385/670] Solved cluster_384 | Cost: 4825920.0
[386/670] Solved cluster_385 | Cost: 4511790.0
[387/670] Solved cluster_386 | Cost: 4493900.0
[388/670] Solved cluster_387 | Cost: 4140900.0
[389/670] Solved cluster_388 | Cost: 3909800.0
[390/670] Solved cluster_389 | Cost: 4029090.0
[391/670] Solved cluster_390 | Cost: 3505190.0
[392/670] Solved cluster_391 | Cost: 3007210.0
[393/670] Solved cluster_392 | Cost: 3471280.0
[394/670] Solved cluster_394 | Cost: 2801070.0
[395/670] Solved cluster_393 | Cost: 3283710.0
[396/670] Solved cluster_395 | Cost: 3041950.0
[397/670] Solved cluster_396 | Cost: 2873460.0
[398/670] Solved cluster_397 | Cost: 2491590.0
[399/670] Solved cluster_398 | Cost: 2384540.0
[400/670] Solved cluster_399 | Cost: 1910920.0
[401/670] Solved cluster_400 | Cost: 1604250.0
[402/670] Solved cluster_401 | Cost: 1698490.0
[403/670] Solved cluster_402 | Cost: 1303570.0
[404/670] Solved cluster_403 | Cost: 1175180.0
[405/670] Solved cluster_404 | Cost: 1041250.0
[406/670] Solved cluster_405 | Cost: 894863.0
[407/670] Solved cluster_406 | Cost: 908052.0
[408/670] Solved cluster_407 | Cost: 778703.0
[409/670] Solved cluster_408 | Cost: 603616.0
[410/670] Solved cluster_409 | Cost: 618031.0
[411/670] Solved cluster_410 | Cost: 426195.0
[412/670] Solved cluster_411 | Cost: 410196.0
[413/670] Solved cluster_412 | Cost: 245633.0
[414/670] Solved cluster_413 | Cost: 1167630.0
[415/670] Solved cluster_414 | Cost: 2071230.0
[416/670] Solved cluster_415 | Cost: 2479990.0
[417/670] Solved cluster_416 | Cost: 2990210.0
[418/670] Solved cluster_418 | Cost: 3213860.0
[419/670] Solved cluster_417 | Cost: 3309220.0
[420/670] Solved cluster_419 | Cost: 3233120.0
[421/670] Solved cluster_420 | Cost: 3833620.0
[422/670] Solved cluster_421 | Cost: 3753750.0
[423/670] Solved cluster_422 | Cost: 4928870.0
[424/670] Solved cluster_423 | Cost: 5428670.0
[425/670] Solved cluster_424 | Cost: 5902620.0
[426/670] Solved cluster_425 | Cost: 6452710.0
[427/670] Solved cluster_426 | Cost: 7133340.0
[428/670] Solved cluster_427 | Cost: 7748200.0
[429/670] Solved cluster_428 | Cost: 7296760.0
[430/670] Solved cluster_429 | Cost: 7173200.0
[431/670] Solved cluster_430 | Cost: 7065670.0
[432/670] Solved cluster_431 | Cost: 7038690.0
[433/670] Solved cluster_432 | Cost: 7133780.0
[434/670] Solved cluster_433 | Cost: 7341140.0
[435/670] Solved cluster_434 | Cost: 7227110.0
[436/670] Solved cluster_435 | Cost: 7188130.0
[437/670] Solved cluster_436 | Cost: 8444580.0
[438/670] Solved cluster_437 | Cost: 8457200.0
[439/670] Solved cluster_438 | Cost: 9839650.0
[440/670] Solved cluster_439 | Cost: 8921070.0
[441/670] Solved cluster_440 | Cost: 9677830.0
[442/670] Solved cluster_441 | Cost: 9011660.0
[443/670] Solved cluster_442 | Cost: 9171280.0
[444/670] Solved cluster_443 | Cost: 8391380.0
[445/670] Solved cluster_444 | Cost: 7851550.0
[446/670] Solved cluster_445 | Cost: 7730730.0
[447/670] Solved cluster_446 | Cost: 5760400.0
[448/670] Solved cluster_447 | Cost: 5575220.0
[449/670] Solved cluster_448 | Cost: 6785010.0
[450/670] Solved cluster_449 | Cost: 6800200.0
[451/670] Solved cluster_450 | Cost: 6751960.0
[452/670] Solved cluster_451 | Cost: 8052840.0
[453/670] Solved cluster_452 | Cost: 8646300.0
[454/670] Solved cluster_453 | Cost: 8319790.0
[455/670] Solved cluster_454 | Cost: 7774760.0
[456/670] Solved cluster_455 | Cost: 6716660.0
[457/670] Solved cluster_456 | Cost: 7153450.0
[458/670] Solved cluster_457 | Cost: 7142740.0
[459/670] Solved cluster_458 | Cost: 7193020.0
[460/670] Solved cluster_459 | Cost: 7283520.0
[461/670] Solved cluster_460 | Cost: 5956280.0
[462/670] Solved cluster_461 | Cost: 5786120.0
[463/670] Solved cluster_462 | Cost: 6026800.0
[464/670] Solved cluster_463 | Cost: 5953800.0
[465/670] Solved cluster_464 | Cost: 5055200.0
[466/670] Solved cluster_465 | Cost: 4728470.0
[467/670] Solved cluster_466 | Cost: 4941840.0
[468/670] Solved cluster_467 | Cost: 4737080.0
[469/670] Solved cluster_468 | Cost: 4655210.0
[470/670] Solved cluster_469 | Cost: 3912980.0
[471/670] Solved cluster_470 | Cost: 3057540.0
[472/670] Solved cluster_471 | Cost: 2375380.0
[473/670] Solved cluster_472 | Cost: 2426290.0
[474/670] Solved cluster_473 | Cost: 2516800.0
[475/670] Solved cluster_474 | Cost: 2895350.0
[476/670] Solved cluster_475 | Cost: 2906790.0
[477/670] Solved cluster_476 | Cost: 3806420.0
[478/670] Solved cluster_477 | Cost: 4107610.0
[479/670] Solved cluster_478 | Cost: 4192560.0
[480/670] Solved cluster_479 | Cost: 4199800.0
[481/670] Solved cluster_480 | Cost: 4233250.0
[482/670] Solved cluster_481 | Cost: 4526120.0
[483/670] Solved cluster_482 | Cost: 3044310.0
[484/670] Solved cluster_483 | Cost: 2288540.0
[485/670] Solved cluster_484 | Cost: 1830230.0
[486/670] Solved cluster_485 | Cost: 1736990.0
[487/670] Solved cluster_486 | Cost: 1874830.0
[488/670] Solved cluster_487 | Cost: 1413490.0
[489/670] Solved cluster_488 | Cost: 975527.0
[490/670] Solved cluster_489 | Cost: 693744.0
[491/670] Solved cluster_490 | Cost: 782967.0
[492/670] Solved cluster_491 | Cost: 886627.0
[493/670] Solved cluster_492 | Cost: 966305.0
[494/670] Solved cluster_493 | Cost: 1000300.0
[495/670] Solved cluster_494 | Cost: 952355.0
[496/670] Solved cluster_495 | Cost: 884114.0
[497/670] Solved cluster_496 | Cost: 918496.0
[498/670] Solved cluster_497 | Cost: 932667.0
[499/670] Solved cluster_499 | Cost: 698327.0
[500/670] Solved cluster_498 | Cost: 852512.0
[501/670] Solved cluster_500 | Cost: 713438.0
[502/670] Solved cluster_501 | Cost: 599284.0
[503/670] Solved cluster_502 | Cost: 609154.0
[504/670] Solved cluster_503 | Cost: 562828.0
[505/670] Solved cluster_504 | Cost: 460420.0
[506/670] Solved cluster_505 | Cost: 350453.0
[507/670] Solved cluster_506 | Cost: 354015.0
[508/670] Solved cluster_507 | Cost: 399392.0
[509/670] Solved cluster_508 | Cost: 491198.0
[510/670] Solved cluster_509 | Cost: 493139.0
[511/670] Solved cluster_510 | Cost: 486101.0
[512/670] Solved cluster_511 | Cost: 491002.0
[513/670] Solved cluster_512 | Cost: 548836.0
[514/670] Solved cluster_513 | Cost: 268745.0
[515/670] Solved cluster_515 | Cost: 447492.0
[516/670] Solved cluster_514 | Cost: 220936.0
[517/670] Solved cluster_516 | Cost: 556105.0
[518/670] Solved cluster_517 | Cost: 752597.0
[519/670] Solved cluster_518 | Cost: 920728.0
[520/670] Solved cluster_519 | Cost: 1554620.0
[521/670] Solved cluster_520 | Cost: 1788840.0
[522/670] Solved cluster_521 | Cost: 1837390.0
[523/670] Solved cluster_522 | Cost: 1929650.0
[524/670] Solved cluster_523 | Cost: 1803120.0
[525/670] Solved cluster_524 | Cost: 1658090.0
[526/670] Solved cluster_525 | Cost: 1555530.0
[527/670] Solved cluster_526 | Cost: 1653300.0
[528/670] Solved cluster_527 | Cost: 1376800.0
[529/670] Solved cluster_528 | Cost: 1427500.0
[530/670] Solved cluster_529 | Cost: 1192940.0
[531/670] Solved cluster_530 | Cost: 1140130.0
[532/670] Solved cluster_531 | Cost: 1172970.0
[533/670] Solved cluster_532 | Cost: 1318210.0
[534/670] Solved cluster_533 | Cost: 1354810.0
[535/670] Solved cluster_534 | Cost: 1512460.0
