Instance Name,Size (N),Seed,Peak Memory (MB),Exec Time (s),Cost,Notes/Hardware
Sicilia.vrp,800000,1,16455.4,12.17,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Emilia-Romagna.vrp,900000,1,16423.83,12.96,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Puglia.vrp,750000,1,16423.65,13.42,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Veneto.vrp,850000,1,16513.08,13.5,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Lombardia.vrp,950000,1,16395.19,13.5,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Lazio.vrp,1000000,1,16449.55,13.43,OOM,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_7.vrp,361,1,6.82,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_15.vrp,397,1,8.13,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_11.vrp,400,1,7.59,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_8.vrp,441,1,7.77,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_3.vrp,401,1,7.2,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_12.vrp,484,1,8.63,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_20.vrp,421,1,8.68,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_4.vrp,481,1,7.96,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Golden_16.vrp,481,1,9.32,2710.01,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
Valle-D-Aosta.vrp,20000,1,4512.73,2710.38,TLE,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n148-k46.vrp,148,1,5.94,2700.06,43448.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n157-k13.vrp,157,1,5.28,2700.05,16876.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n167-k10.vrp,167,1,5.27,2700.05,20557.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n186-k15.vrp,186,1,5.56,2700.05,24145.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n162-k11.vrp,162,1,5.34,2700.06,14138.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n176-k26.vrp,176,1,5.78,2700.07,47812.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n153-k22.vrp,153,1,5.41,2700.11,21225.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n172-k51.vrp,172,1,6.25,2700.08,45607.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n181-k23.vrp,181,1,5.73,2700.08,25569.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n190-k8.vrp,190,1,5.38,2700.09,16983.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n195-k51.vrp,195,1,6.47,2700.06,44225.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n200-k36.vrp,200,1,6.15,2700.09,58578.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n204-k19.vrp,204,1,5.73,2700.1,19565.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n209-k16.vrp,209,1,5.74,2700.09,30656.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n214-k11.vrp,214,1,5.63,2700.12,10856.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n219-k73.vrp,219,1,7.19,2700.13,117595.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n223-k34.vrp,223,1,6.3,2700.08,40437.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n228-k23.vrp,228,1,6.02,2700.1,25742.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n233-k16.vrp,233,1,5.84,2700.08,19230.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n237-k14.vrp,237,1,5.85,2700.12,27042.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n242-k48.vrp,242,1,6.83,2700.06,82789.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n251-k28.vrp,251,1,6.4,2700.08,38684.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n261-k13.vrp,261,1,5.97,2700.08,26558.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n270-k35.vrp,270,1,6.7,2700.06,35303.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n256-k16.vrp,256,1,6.11,2700.09,18839.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n280-k17.vrp,280,1,6.33,2700.06,33506.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n275-k28.vrp,275,1,6.59,2700.06,21245.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n247-k50.vrp,247,1,6.92,2700.11,37274.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n266-k58.vrp,266,1,7.3,2700.09,75529.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n284-k15.vrp,284,1,6.18,2700.08,20240.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n289-k60.vrp,289,1,7.68,2700.09,95244.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n294-k50.vrp,294,1,7.48,2700.12,47172.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n298-k31.vrp,298,1,6.75,2700.08,34231.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n303-k21.vrp,303,1,6.59,2700.04,21738.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n308-k13.vrp,308,1,6.39,2700.11,25862.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n313-k71.vrp,313,1,8.39,2700.09,94051.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n317-k53.vrp,317,1,7.82,2700.09,78355.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n322-k28.vrp,322,1,6.96,2700.04,29848.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n327-k20.vrp,327,1,6.81,2700.1,27532.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n331-k15.vrp,331,1,6.7,2700.11,31103.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n336-k84.vrp,336,1,9.11,2700.09,139272.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n351-k40.vrp,351,1,7.72,2700.07,25952.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n344-k43.vrp,344,1,7.82,2700.11,42064.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n367-k17.vrp,367,1,7.12,2700.1,22814.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n401-k29.vrp,401,1,7.86,2700.1,66213.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n359-k29.vrp,359,1,7.49,2700.12,51574.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n376-k94.vrp,376,1,9.98,2700.11,147713.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n393-k38.vrp,393,1,8.02,2700.12,38260.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n384-k52.vrp,384,1,8.56,2700.12,66038.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n411-k19.vrp,411,1,7.61,2700.14,19717.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n420-k130.vrp,420,1,12.24,2700.11,107862.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n429-k61.vrp,429,1,9.62,2700.12,65480.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n439-k37.vrp,439,1,8.61,2700.11,36395.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n449-k29.vrp,449,1,8.5,2700.07,55349.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n459-k26.vrp,459,1,8.4,2700.11,24160.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n469-k138.vrp,469,1,13.72,2700.12,222074.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n480-k70.vrp,480,1,10.62,2700.09,89468.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n491-k59.vrp,491,1,10.39,2700.1,66531.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n502-k39.vrp,502,1,9.62,2700.11,69265.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n513-k21.vrp,513,1,8.8,2700.1,24201.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n536-k96.vrp,536,1,13.05,2700.05,95101.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n524-k153.vrp,524,1,14.88,2700.1,154755.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n561-k42.vrp,561,1,10.47,2700.08,42719.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n548-k50.vrp,548,1,10.77,2700.1,86792.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n573-k30.vrp,573,1,10.17,2700.09,50770.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n613-k62.vrp,613,1,12.45,2700.08,59632.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n599-k92.vrp,599,1,14.03,2700.09,108617.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n586-k159.vrp,586,1,17.54,2700.11,190455.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n627-k43.vrp,627,1,11.7,2700.12,62365.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n641-k35.vrp,641,1,11.41,2700.09,63867.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n655-k131.vrp,655,1,17.48,2700.09,106818.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n670-k130.vrp,670,1,17.63,2700.07,146813.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n685-k75.vrp,685,1,14.55,2700.12,68344.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n701-k44.vrp,701,1,12.89,2700.1,82352.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n716-k35.vrp,716,1,12.62,2700.06,43489.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n733-k159.vrp,733,1,21.4,2700.08,136457.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n749-k98.vrp,749,1,17.45,2700.07,77796.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n766-k71.vrp,766,1,16.01,2700.11,114754.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n783-k48.vrp,783,1,14.63,2700.08,72759.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n801-k40.vrp,801,1,14.46,2700.08,73474.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n837-k142.vrp,837,1,22.91,2700.09,194171.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n819-k171.vrp,819,1,24.44,2700.14,158567.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n895-k37.vrp,895,1,16.05,2700.08,54098.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n936-k151.vrp,936,1,26.53,2700.09,133599.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n856-k95.vrp,856,1,19.82,2700.12,88990.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n916-k207.vrp,916,1,30.51,2700.12,329928.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n957-k87.vrp,957,1,21.55,2700.11,85581.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n876-k59.vrp,876,1,17.27,2700.16,99689.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n979-k58.vrp,979,1,19.41,2700.14,119426.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
X-n1001-k43.vrp,1001,1,18.73,2700.12,72590.0,"Local e27716ea1cba (x86_64, 125.5GB RAM)"
XML1000000_2324_01.vrp,1000001,1,,,OOM,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
XML1000000_3163_02.vrp,1000001,1,,,OOM,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
